comm_round: 0 | global_acc: 16.900% | global_loss: 2.2807459831237793
comm_round: 1 | global_acc: 24.250% | global_loss: 2.258829116821289
comm_round: 2 | global_acc: 27.250% | global_loss: 2.2414705753326416
comm_round: 3 | global_acc: 30.200% | global_loss: 2.2254042625427246
comm_round: 4 | global_acc: 32.500% | global_loss: 2.211761713027954
comm_round: 5 | global_acc: 34.150% | global_loss: 2.2002291679382324
comm_round: 6 | global_acc: 35.900% | global_loss: 2.1900112628936768
comm_round: 7 | global_acc: 36.750% | global_loss: 2.1803946495056152
comm_round: 8 | global_acc: 37.750% | global_loss: 2.1715962886810303
comm_round: 9 | global_acc: 38.400% | global_loss: 2.163417100906372
comm_round: 10 | global_acc: 39.300% | global_loss: 2.1563754081726074
comm_round: 11 | global_acc: 40.200% | global_loss: 2.1496641635894775
comm_round: 12 | global_acc: 41.000% | global_loss: 2.1431260108947754
comm_round: 13 | global_acc: 41.500% | global_loss: 2.136444091796875
comm_round: 14 | global_acc: 41.900% | global_loss: 2.1320152282714844
comm_round: 15 | global_acc: 42.200% | global_loss: 2.124788761138916
comm_round: 16 | global_acc: 42.500% | global_loss: 2.120664358139038
comm_round: 17 | global_acc: 43.400% | global_loss: 2.115769624710083
comm_round: 18 | global_acc: 44.100% | global_loss: 2.1109046936035156
comm_round: 19 | global_acc: 44.000% | global_loss: 2.1077499389648438
