comm_round: 0 | global_acc: 9.200% | global_loss: 2.2992734909057617
comm_round: 0 | global_acc: 11.500% | global_loss: 2.2990593910217285
comm_round: 0 | global_acc: 9.600% | global_loss: 2.2997677326202393
comm_round: 1 | global_acc: 20.000% | global_loss: 2.2919325828552246
comm_round: 1 | global_acc: 19.900% | global_loss: 2.291588306427002
comm_round: 1 | global_acc: 20.900% | global_loss: 2.291588544845581
comm_round: 2 | global_acc: 22.900% | global_loss: 2.2606756687164307
comm_round: 2 | global_acc: 23.800% | global_loss: 2.2605669498443604
comm_round: 2 | global_acc: 22.600% | global_loss: 2.2605156898498535
comm_round: 3 | global_acc: 29.700% | global_loss: 2.2221906185150146
comm_round: 3 | global_acc: 30.400% | global_loss: 2.2189292907714844
comm_round: 3 | global_acc: 27.800% | global_loss: 2.2216880321502686
comm_round: 4 | global_acc: 32.800% | global_loss: 2.198441982269287
comm_round: 4 | global_acc: 33.400% | global_loss: 2.1956429481506348
comm_round: 4 | global_acc: 31.900% | global_loss: 2.197816848754883
comm_round: 5 | global_acc: 31.200% | global_loss: 2.197219133377075
comm_round: 5 | global_acc: 31.700% | global_loss: 2.1947755813598633
comm_round: 5 | global_acc: 31.100% | global_loss: 2.1930131912231445
comm_round: 6 | global_acc: 28.000% | global_loss: 2.2606279850006104
comm_round: 6 | global_acc: 26.500% | global_loss: 2.260906219482422
comm_round: 6 | global_acc: 22.700% | global_loss: 2.262455940246582
comm_round: 7 | global_acc: 32.000% | global_loss: 2.2034337520599365
comm_round: 7 | global_acc: 33.000% | global_loss: 2.2029500007629395
comm_round: 7 | global_acc: 33.300% | global_loss: 2.2029612064361572
comm_round: 8 | global_acc: 34.400% | global_loss: 2.170677900314331
comm_round: 8 | global_acc: 35.300% | global_loss: 2.1709957122802734
comm_round: 8 | global_acc: 35.700% | global_loss: 2.169170618057251
comm_round: 9 | global_acc: 37.500% | global_loss: 2.1502628326416016
comm_round: 9 | global_acc: 37.400% | global_loss: 2.149444818496704
comm_round: 9 | global_acc: 36.200% | global_loss: 2.1506645679473877
comm_round: 10 | global_acc: 38.600% | global_loss: 2.1328659057617188
comm_round: 10 | global_acc: 38.400% | global_loss: 2.1340041160583496
comm_round: 10 | global_acc: 38.800% | global_loss: 2.1346473693847656
comm_round: 11 | global_acc: 38.800% | global_loss: 2.1193645000457764
comm_round: 11 | global_acc: 38.000% | global_loss: 2.1217598915100098
comm_round: 11 | global_acc: 39.900% | global_loss: 2.1217739582061768
comm_round: 12 | global_acc: 36.200% | global_loss: 2.1299359798431396
comm_round: 12 | global_acc: 36.800% | global_loss: 2.12827205657959
comm_round: 12 | global_acc: 36.200% | global_loss: 2.130657911300659
comm_round: 13 | global_acc: 38.500% | global_loss: 2.120675563812256
comm_round: 13 | global_acc: 36.800% | global_loss: 2.125000238418579
comm_round: 13 | global_acc: 38.600% | global_loss: 2.1179451942443848
comm_round: 14 | global_acc: 38.700% | global_loss: 2.103090763092041
comm_round: 14 | global_acc: 39.300% | global_loss: 2.0999481678009033
comm_round: 14 | global_acc: 38.100% | global_loss: 2.107891321182251
comm_round: 15 | global_acc: 40.200% | global_loss: 2.091856002807617
comm_round: 15 | global_acc: 38.700% | global_loss: 2.093655586242676
comm_round: 15 | global_acc: 41.500% | global_loss: 2.0913407802581787
comm_round: 16 | global_acc: 37.600% | global_loss: 2.0957071781158447
comm_round: 16 | global_acc: 38.000% | global_loss: 2.0938971042633057
comm_round: 16 | global_acc: 38.700% | global_loss: 2.097872495651245
comm_round: 17 | global_acc: 35.900% | global_loss: 2.134655714035034
comm_round: 17 | global_acc: 38.200% | global_loss: 2.1272923946380615
comm_round: 17 | global_acc: 38.000% | global_loss: 2.130110025405884
comm_round: 18 | global_acc: 40.900% | global_loss: 2.0687437057495117
comm_round: 18 | global_acc: 40.000% | global_loss: 2.0694777965545654
comm_round: 18 | global_acc: 42.500% | global_loss: 2.064779758453369
comm_round: 19 | global_acc: 41.000% | global_loss: 2.0704312324523926
comm_round: 19 | global_acc: 40.500% | global_loss: 2.0694420337677
comm_round: 19 | global_acc: 43.000% | global_loss: 2.0652530193328857
comm_round: 20 | global_acc: 41.100% | global_loss: 2.059452533721924
comm_round: 20 | global_acc: 40.600% | global_loss: 2.0639350414276123
comm_round: 20 | global_acc: 43.300% | global_loss: 2.0567119121551514
comm_round: 21 | global_acc: 40.800% | global_loss: 2.060978412628174
comm_round: 21 | global_acc: 39.900% | global_loss: 2.0647528171539307
comm_round: 21 | global_acc: 43.700% | global_loss: 2.055570363998413
comm_round: 22 | global_acc: 41.200% | global_loss: 2.0551130771636963
comm_round: 22 | global_acc: 39.900% | global_loss: 2.061720371246338
comm_round: 22 | global_acc: 43.700% | global_loss: 2.0514187812805176
comm_round: 23 | global_acc: 40.400% | global_loss: 2.0659074783325195
comm_round: 23 | global_acc: 41.300% | global_loss: 2.064126968383789
comm_round: 23 | global_acc: 41.700% | global_loss: 2.0647902488708496
comm_round: 24 | global_acc: 37.300% | global_loss: 2.0859732627868652
comm_round: 24 | global_acc: 39.100% | global_loss: 2.083554744720459
comm_round: 24 | global_acc: 38.900% | global_loss: 2.070798635482788
comm_round: 25 | global_acc: 39.900% | global_loss: 2.060081958770752
comm_round: 25 | global_acc: 38.400% | global_loss: 2.070420503616333
comm_round: 25 | global_acc: 42.100% | global_loss: 2.0527737140655518
comm_round: 26 | global_acc: 41.100% | global_loss: 2.0522665977478027
comm_round: 26 | global_acc: 39.600% | global_loss: 2.0601871013641357
comm_round: 26 | global_acc: 43.500% | global_loss: 2.043381690979004
comm_round: 27 | global_acc: 41.400% | global_loss: 2.0499284267425537
comm_round: 27 | global_acc: 40.400% | global_loss: 2.0547192096710205
comm_round: 27 | global_acc: 43.600% | global_loss: 2.0409324169158936
comm_round: 28 | global_acc: 41.900% | global_loss: 2.04913067817688
comm_round: 28 | global_acc: 40.100% | global_loss: 2.0557713508605957
comm_round: 28 | global_acc: 44.300% | global_loss: 2.0402467250823975
comm_round: 29 | global_acc: 42.300% | global_loss: 2.0462868213653564
comm_round: 29 | global_acc: 41.300% | global_loss: 2.0502943992614746
comm_round: 29 | global_acc: 43.900% | global_loss: 2.037332057952881
comm_round: 30 | global_acc: 41.900% | global_loss: 2.046264886856079
comm_round: 30 | global_acc: 40.200% | global_loss: 2.0519955158233643
comm_round: 30 | global_acc: 44.600% | global_loss: 2.036081075668335
comm_round: 31 | global_acc: 42.000% | global_loss: 2.044877767562866
comm_round: 31 | global_acc: 40.800% | global_loss: 2.049039840698242
comm_round: 31 | global_acc: 43.700% | global_loss: 2.0352237224578857
comm_round: 32 | global_acc: 42.100% | global_loss: 2.0429868698120117
comm_round: 32 | global_acc: 40.300% | global_loss: 2.0516488552093506
comm_round: 32 | global_acc: 44.800% | global_loss: 2.0346457958221436
comm_round: 33 | global_acc: 42.700% | global_loss: 2.0421361923217773
comm_round: 33 | global_acc: 42.100% | global_loss: 2.0473217964172363
comm_round: 33 | global_acc: 44.400% | global_loss: 2.0334506034851074
comm_round: 34 | global_acc: 41.900% | global_loss: 2.0418636798858643
comm_round: 34 | global_acc: 41.400% | global_loss: 2.04801869392395
comm_round: 34 | global_acc: 44.600% | global_loss: 2.0318353176116943
comm_round: 35 | global_acc: 41.400% | global_loss: 2.042116641998291
comm_round: 35 | global_acc: 42.000% | global_loss: 2.046447992324829
comm_round: 35 | global_acc: 44.300% | global_loss: 2.031424045562744
comm_round: 36 | global_acc: 42.100% | global_loss: 2.042201280593872
comm_round: 36 | global_acc: 42.400% | global_loss: 2.0450222492218018
comm_round: 36 | global_acc: 44.300% | global_loss: 2.0315334796905518
comm_round: 37 | global_acc: 40.900% | global_loss: 2.0430479049682617
comm_round: 37 | global_acc: 42.100% | global_loss: 2.0466768741607666
comm_round: 37 | global_acc: 44.000% | global_loss: 2.0312483310699463
comm_round: 38 | global_acc: 41.400% | global_loss: 2.0425515174865723
comm_round: 38 | global_acc: 42.200% | global_loss: 2.0440564155578613
comm_round: 38 | global_acc: 44.300% | global_loss: 2.029888153076172
comm_round: 39 | global_acc: 41.300% | global_loss: 2.042299270629883
comm_round: 39 | global_acc: 42.800% | global_loss: 2.044154167175293
comm_round: 39 | global_acc: 44.600% | global_loss: 2.029493570327759
comm_round: 40 | global_acc: 41.600% | global_loss: 2.041607618331909
comm_round: 40 | global_acc: 42.400% | global_loss: 2.0434088706970215
comm_round: 40 | global_acc: 44.500% | global_loss: 2.028712272644043
comm_round: 41 | global_acc: 41.600% | global_loss: 2.041539192199707
comm_round: 41 | global_acc: 42.400% | global_loss: 2.0430569648742676
comm_round: 41 | global_acc: 44.700% | global_loss: 2.0283071994781494
comm_round: 42 | global_acc: 41.800% | global_loss: 2.0408456325531006
comm_round: 42 | global_acc: 42.500% | global_loss: 2.0422191619873047
comm_round: 42 | global_acc: 44.700% | global_loss: 2.0278379917144775
comm_round: 43 | global_acc: 41.800% | global_loss: 2.040083885192871
comm_round: 43 | global_acc: 42.600% | global_loss: 2.0414397716522217
comm_round: 43 | global_acc: 44.700% | global_loss: 2.027423143386841
comm_round: 44 | global_acc: 41.900% | global_loss: 2.039077043533325
comm_round: 44 | global_acc: 42.500% | global_loss: 2.0404257774353027
comm_round: 44 | global_acc: 44.700% | global_loss: 2.027184247970581
comm_round: 45 | global_acc: 41.700% | global_loss: 2.0388143062591553
comm_round: 45 | global_acc: 42.400% | global_loss: 2.0400171279907227
comm_round: 45 | global_acc: 45.100% | global_loss: 2.026962995529175
comm_round: 46 | global_acc: 41.800% | global_loss: 2.0383524894714355
comm_round: 46 | global_acc: 42.200% | global_loss: 2.039069652557373
comm_round: 46 | global_acc: 45.200% | global_loss: 2.026878595352173
comm_round: 47 | global_acc: 41.700% | global_loss: 2.0387868881225586
comm_round: 47 | global_acc: 42.600% | global_loss: 2.039194107055664
comm_round: 47 | global_acc: 45.500% | global_loss: 2.026460647583008
comm_round: 48 | global_acc: 41.400% | global_loss: 2.03808331489563
comm_round: 48 | global_acc: 42.500% | global_loss: 2.0385663509368896
comm_round: 48 | global_acc: 45.600% | global_loss: 2.026571273803711
comm_round: 49 | global_acc: 41.600% | global_loss: 2.037421464920044
comm_round: 49 | global_acc: 43.000% | global_loss: 2.037031412124634
comm_round: 49 | global_acc: 45.100% | global_loss: 2.0263383388519287
comm_round: 50 | global_acc: 41.100% | global_loss: 2.0377416610717773
comm_round: 50 | global_acc: 42.800% | global_loss: 2.037179708480835
comm_round: 50 | global_acc: 45.400% | global_loss: 2.0260825157165527
comm_round: 51 | global_acc: 41.600% | global_loss: 2.036743402481079
comm_round: 51 | global_acc: 42.800% | global_loss: 2.036306619644165
comm_round: 51 | global_acc: 45.000% | global_loss: 2.0257294178009033
comm_round: 52 | global_acc: 41.500% | global_loss: 2.036874771118164
comm_round: 52 | global_acc: 43.000% | global_loss: 2.035851001739502
comm_round: 52 | global_acc: 45.000% | global_loss: 2.0254969596862793
comm_round: 53 | global_acc: 42.100% | global_loss: 2.0360665321350098
comm_round: 53 | global_acc: 43.000% | global_loss: 2.035393714904785
comm_round: 53 | global_acc: 44.800% | global_loss: 2.0253593921661377
comm_round: 54 | global_acc: 41.700% | global_loss: 2.0364885330200195
comm_round: 54 | global_acc: 43.100% | global_loss: 2.0352606773376465
comm_round: 54 | global_acc: 45.100% | global_loss: 2.024996280670166
comm_round: 55 | global_acc: 41.800% | global_loss: 2.0358893871307373
comm_round: 55 | global_acc: 43.000% | global_loss: 2.034813165664673
comm_round: 55 | global_acc: 44.600% | global_loss: 2.0250213146209717
comm_round: 56 | global_acc: 42.100% | global_loss: 2.0359506607055664
comm_round: 56 | global_acc: 42.900% | global_loss: 2.0344533920288086
comm_round: 56 | global_acc: 44.900% | global_loss: 2.0249507427215576
comm_round: 57 | global_acc: 42.500% | global_loss: 2.0354087352752686
comm_round: 57 | global_acc: 42.600% | global_loss: 2.0338504314422607
comm_round: 57 | global_acc: 44.600% | global_loss: 2.0249476432800293
comm_round: 58 | global_acc: 42.100% | global_loss: 2.0358808040618896
comm_round: 58 | global_acc: 42.800% | global_loss: 2.0337209701538086
comm_round: 58 | global_acc: 44.700% | global_loss: 2.0245046615600586
comm_round: 59 | global_acc: 42.100% | global_loss: 2.035635232925415
comm_round: 59 | global_acc: 42.700% | global_loss: 2.033625602722168
comm_round: 59 | global_acc: 44.700% | global_loss: 2.0245521068573
comm_round: 60 | global_acc: 42.100% | global_loss: 2.0354597568511963
comm_round: 60 | global_acc: 42.400% | global_loss: 2.033226490020752
comm_round: 60 | global_acc: 44.500% | global_loss: 2.024400472640991
comm_round: 61 | global_acc: 42.200% | global_loss: 2.035343885421753
comm_round: 61 | global_acc: 42.500% | global_loss: 2.0326809883117676
comm_round: 61 | global_acc: 44.400% | global_loss: 2.024345636367798
comm_round: 62 | global_acc: 42.300% | global_loss: 2.035250663757324
comm_round: 62 | global_acc: 42.400% | global_loss: 2.0323004722595215
comm_round: 62 | global_acc: 44.500% | global_loss: 2.02425217628479
comm_round: 63 | global_acc: 42.300% | global_loss: 2.0352187156677246
comm_round: 63 | global_acc: 42.600% | global_loss: 2.032010316848755
comm_round: 63 | global_acc: 44.400% | global_loss: 2.024125099182129
comm_round: 64 | global_acc: 42.200% | global_loss: 2.0352048873901367
comm_round: 64 | global_acc: 42.800% | global_loss: 2.0317118167877197
comm_round: 64 | global_acc: 44.400% | global_loss: 2.0240352153778076
comm_round: 65 | global_acc: 42.100% | global_loss: 2.0352089405059814
comm_round: 65 | global_acc: 42.700% | global_loss: 2.031450033187866
comm_round: 65 | global_acc: 44.300% | global_loss: 2.023965358734131
comm_round: 66 | global_acc: 42.100% | global_loss: 2.035167932510376
comm_round: 66 | global_acc: 42.700% | global_loss: 2.0311667919158936
comm_round: 66 | global_acc: 44.400% | global_loss: 2.0238759517669678
comm_round: 67 | global_acc: 42.100% | global_loss: 2.03511381149292
comm_round: 67 | global_acc: 42.700% | global_loss: 2.0309109687805176
comm_round: 67 | global_acc: 44.400% | global_loss: 2.0238089561462402
comm_round: 68 | global_acc: 42.000% | global_loss: 2.0350027084350586
comm_round: 68 | global_acc: 42.700% | global_loss: 2.030604124069214
comm_round: 68 | global_acc: 44.600% | global_loss: 2.0237371921539307
comm_round: 69 | global_acc: 42.200% | global_loss: 2.0349247455596924
comm_round: 69 | global_acc: 42.700% | global_loss: 2.0303187370300293
comm_round: 69 | global_acc: 44.500% | global_loss: 2.0236668586730957
comm_round: 70 | global_acc: 42.200% | global_loss: 2.0348682403564453
comm_round: 70 | global_acc: 42.700% | global_loss: 2.0300254821777344
comm_round: 70 | global_acc: 44.400% | global_loss: 2.023613691329956
comm_round: 71 | global_acc: 42.200% | global_loss: 2.034775733947754
comm_round: 71 | global_acc: 42.700% | global_loss: 2.029707908630371
comm_round: 71 | global_acc: 44.200% | global_loss: 2.0235843658447266
comm_round: 72 | global_acc: 42.100% | global_loss: 2.034710168838501
comm_round: 72 | global_acc: 42.700% | global_loss: 2.0294508934020996
comm_round: 72 | global_acc: 44.200% | global_loss: 2.023552179336548
