comm_round: 0 | global_acc: 41.660% | global_loss: 2.2526512145996094
comm_round: 1 | global_acc: 56.200% | global_loss: 2.1486358642578125
comm_round: 2 | global_acc: 63.280% | global_loss: 2.044865369796753
comm_round: 3 | global_acc: 66.640% | global_loss: 1.9735440015792847
comm_round: 4 | global_acc: 69.500% | global_loss: 1.9241050481796265
comm_round: 5 | global_acc: 71.160% | global_loss: 1.8885589838027954
comm_round: 6 | global_acc: 72.340% | global_loss: 1.8625255823135376
comm_round: 7 | global_acc: 73.640% | global_loss: 1.8418792486190796
comm_round: 8 | global_acc: 74.680% | global_loss: 1.825150728225708
comm_round: 9 | global_acc: 75.280% | global_loss: 1.811339020729065
comm_round: 10 | global_acc: 75.940% | global_loss: 1.799795150756836
comm_round: 11 | global_acc: 76.340% | global_loss: 1.7898977994918823
comm_round: 12 | global_acc: 77.020% | global_loss: 1.781569480895996
comm_round: 13 | global_acc: 77.240% | global_loss: 1.7741659879684448
comm_round: 14 | global_acc: 77.700% | global_loss: 1.767532467842102
comm_round: 15 | global_acc: 78.080% | global_loss: 1.7612323760986328
comm_round: 16 | global_acc: 78.420% | global_loss: 1.755669355392456
comm_round: 17 | global_acc: 78.920% | global_loss: 1.7505375146865845
comm_round: 18 | global_acc: 79.340% | global_loss: 1.7461340427398682
comm_round: 19 | global_acc: 79.460% | global_loss: 1.7416449785232544
comm_round: 20 | global_acc: 79.780% | global_loss: 1.7383244037628174
