comm_round: 0 | global_acc: 10.600% | global_loss: 2.300723075866699
comm_round: 0 | global_acc: 11.100% | global_loss: 2.3001694679260254
comm_round: 0 | global_acc: 10.000% | global_loss: 2.300687551498413
comm_round: 1 | global_acc: 15.700% | global_loss: 2.2932932376861572
comm_round: 1 | global_acc: 14.600% | global_loss: 2.2935843467712402
comm_round: 1 | global_acc: 15.800% | global_loss: 2.293935775756836
comm_round: 2 | global_acc: 23.100% | global_loss: 2.2792937755584717
comm_round: 2 | global_acc: 21.900% | global_loss: 2.2789499759674072
comm_round: 2 | global_acc: 21.400% | global_loss: 2.2800447940826416
comm_round: 3 | global_acc: 26.900% | global_loss: 2.2546048164367676
comm_round: 3 | global_acc: 26.300% | global_loss: 2.253354787826538
comm_round: 3 | global_acc: 24.200% | global_loss: 2.255176305770874
comm_round: 4 | global_acc: 27.500% | global_loss: 2.234738349914551
comm_round: 4 | global_acc: 28.400% | global_loss: 2.231785297393799
comm_round: 4 | global_acc: 25.600% | global_loss: 2.232550621032715
comm_round: 5 | global_acc: 27.900% | global_loss: 2.224410057067871
comm_round: 5 | global_acc: 29.400% | global_loss: 2.2196884155273438
comm_round: 5 | global_acc: 28.800% | global_loss: 2.22123646736145
comm_round: 6 | global_acc: 26.600% | global_loss: 2.246290445327759
comm_round: 6 | global_acc: 23.700% | global_loss: 2.245854377746582
comm_round: 6 | global_acc: 26.300% | global_loss: 2.2455811500549316
comm_round: 7 | global_acc: 31.900% | global_loss: 2.2097361087799072
comm_round: 7 | global_acc: 30.500% | global_loss: 2.209691047668457
comm_round: 7 | global_acc: 30.700% | global_loss: 2.211596965789795
comm_round: 8 | global_acc: 34.500% | global_loss: 2.193596601486206
comm_round: 8 | global_acc: 32.700% | global_loss: 2.196037530899048
comm_round: 8 | global_acc: 33.200% | global_loss: 2.1921677589416504
comm_round: 9 | global_acc: 35.200% | global_loss: 2.1759543418884277
comm_round: 9 | global_acc: 33.200% | global_loss: 2.1798486709594727
comm_round: 9 | global_acc: 34.700% | global_loss: 2.1742007732391357
comm_round: 10 | global_acc: 34.200% | global_loss: 2.167142629623413
comm_round: 10 | global_acc: 34.700% | global_loss: 2.173463821411133
comm_round: 10 | global_acc: 34.800% | global_loss: 2.166883945465088
comm_round: 11 | global_acc: 34.700% | global_loss: 2.1765356063842773
comm_round: 11 | global_acc: 33.100% | global_loss: 2.1808278560638428
comm_round: 11 | global_acc: 35.700% | global_loss: 2.1757705211639404
comm_round: 12 | global_acc: 37.000% | global_loss: 2.1441688537597656
comm_round: 12 | global_acc: 33.800% | global_loss: 2.152585983276367
comm_round: 12 | global_acc: 35.400% | global_loss: 2.144249677658081
comm_round: 13 | global_acc: 31.400% | global_loss: 2.2139580249786377
comm_round: 13 | global_acc: 30.100% | global_loss: 2.2135019302368164
comm_round: 13 | global_acc: 29.200% | global_loss: 2.213141441345215
comm_round: 14 | global_acc: 36.800% | global_loss: 2.1365654468536377
comm_round: 14 | global_acc: 36.600% | global_loss: 2.1402902603149414
comm_round: 14 | global_acc: 37.200% | global_loss: 2.1377663612365723
comm_round: 15 | global_acc: 40.000% | global_loss: 2.1224076747894287
comm_round: 15 | global_acc: 37.500% | global_loss: 2.131964683532715
comm_round: 15 | global_acc: 37.300% | global_loss: 2.1268198490142822
comm_round: 16 | global_acc: 38.600% | global_loss: 2.1192595958709717
comm_round: 16 | global_acc: 35.700% | global_loss: 2.1292104721069336
comm_round: 16 | global_acc: 36.100% | global_loss: 2.1234130859375
comm_round: 17 | global_acc: 34.600% | global_loss: 2.216348648071289
comm_round: 17 | global_acc: 33.200% | global_loss: 2.2161710262298584
comm_round: 17 | global_acc: 33.400% | global_loss: 2.2162599563598633
comm_round: 18 | global_acc: 37.800% | global_loss: 2.127875328063965
