comm_round: 0 | global_acc: 18.280% | global_loss: 2.281515121459961
comm_round: 1 | global_acc: 39.160% | global_loss: 2.2571592330932617
comm_round: 2 | global_acc: 46.560% | global_loss: 2.228585958480835
comm_round: 3 | global_acc: 51.200% | global_loss: 2.193704605102539
comm_round: 4 | global_acc: 56.500% | global_loss: 2.156728982925415
comm_round: 5 | global_acc: 60.120% | global_loss: 2.1186587810516357
comm_round: 6 | global_acc: 63.440% | global_loss: 2.081599712371826
comm_round: 7 | global_acc: 65.280% | global_loss: 2.047091484069824
comm_round: 8 | global_acc: 66.640% | global_loss: 2.0160751342773438
comm_round: 9 | global_acc: 68.120% | global_loss: 1.987727165222168
comm_round: 10 | global_acc: 69.140% | global_loss: 1.9623632431030273
comm_round: 11 | global_acc: 70.060% | global_loss: 1.9407017230987549
comm_round: 12 | global_acc: 70.560% | global_loss: 1.9210476875305176
comm_round: 13 | global_acc: 71.120% | global_loss: 1.904754638671875
comm_round: 14 | global_acc: 71.720% | global_loss: 1.8896924257278442
comm_round: 15 | global_acc: 72.140% | global_loss: 1.8766894340515137
comm_round: 16 | global_acc: 72.540% | global_loss: 1.8662312030792236
comm_round: 17 | global_acc: 72.800% | global_loss: 1.8567582368850708
comm_round: 18 | global_acc: 73.360% | global_loss: 1.8473886251449585
comm_round: 19 | global_acc: 73.600% | global_loss: 1.8401875495910645
comm_round: 20 | global_acc: 73.800% | global_loss: 1.8399875495910645
