comm_round: 0 | global_acc: 14.200% | global_loss: 2.2984418869018555
comm_round: 1 | global_acc: 16.125% | global_loss: 2.296703577041626
comm_round: 2 | global_acc: 17.375% | global_loss: 2.2956316471099854
comm_round: 3 | global_acc: 18.850% | global_loss: 2.294614553451538
comm_round: 4 | global_acc: 19.350% | global_loss: 2.293612241744995
comm_round: 5 | global_acc: 20.275% | global_loss: 2.292607307434082
comm_round: 6 | global_acc: 21.200% | global_loss: 2.291567802429199
comm_round: 7 | global_acc: 21.725% | global_loss: 2.2904722690582275
comm_round: 8 | global_acc: 22.200% | global_loss: 2.2893106937408447
comm_round: 9 | global_acc: 22.775% | global_loss: 2.288076877593994
comm_round: 10 | global_acc: 22.950% | global_loss: 2.2867705821990967
comm_round: 11 | global_acc: 23.475% | global_loss: 2.2853822708129883
comm_round: 12 | global_acc: 24.025% | global_loss: 2.2838902473449707
comm_round: 13 | global_acc: 24.375% | global_loss: 2.2823150157928467
comm_round: 14 | global_acc: 24.775% | global_loss: 2.2806060314178467
comm_round: 15 | global_acc: 25.050% | global_loss: 2.27883243560791
comm_round: 16 | global_acc: 25.425% | global_loss: 2.276942491531372
comm_round: 17 | global_acc: 25.950% | global_loss: 2.2749714851379395
comm_round: 18 | global_acc: 26.175% | global_loss: 2.2729239463806152
comm_round: 19 | global_acc: 26.675% | global_loss: 2.2708168029785156
comm_round: 20 | global_acc: 27.275% | global_loss: 2.268599271774292
comm_round: 21 | global_acc: 27.625% | global_loss: 2.2663495540618896
comm_round: 22 | global_acc: 27.975% | global_loss: 2.2640671730041504
comm_round: 23 | global_acc: 28.825% | global_loss: 2.261744499206543
comm_round: 24 | global_acc: 29.125% | global_loss: 2.2593750953674316
comm_round: 25 | global_acc: 29.775% | global_loss: 2.257038116455078
comm_round: 26 | global_acc: 30.425% | global_loss: 2.2547247409820557
comm_round: 27 | global_acc: 30.700% | global_loss: 2.2524478435516357
comm_round: 28 | global_acc: 31.125% | global_loss: 2.2501494884490967
comm_round: 29 | global_acc: 31.600% | global_loss: 2.2479360103607178
