comm_round: 0 | global_acc: 12.940% | global_loss: 2.297757148742676
comm_round: 1 | global_acc: 21.140% | global_loss: 2.293452024459839
comm_round: 2 | global_acc: 26.160% | global_loss: 2.289870023727417
comm_round: 3 | global_acc: 37.620% | global_loss: 2.2853760719299316
comm_round: 4 | global_acc: 43.580% | global_loss: 2.2803685665130615
comm_round: 5 | global_acc: 49.000% | global_loss: 2.2740108966827393
comm_round: 6 | global_acc: 53.040% | global_loss: 2.266340732574463
comm_round: 7 | global_acc: 56.480% | global_loss: 2.256559371948242
comm_round: 8 | global_acc: 58.860% | global_loss: 2.2438199520111084
comm_round: 9 | global_acc: 61.280% | global_loss: 2.227647542953491
comm_round: 10 | global_acc: 63.740% | global_loss: 2.2069759368896484
comm_round: 11 | global_acc: 66.120% | global_loss: 2.1808393001556396
comm_round: 12 | global_acc: 68.380% | global_loss: 2.1493687629699707
comm_round: 13 | global_acc: 70.340% | global_loss: 2.1122043132781982
comm_round: 14 | global_acc: 72.260% | global_loss: 2.0722122192382812
comm_round: 15 | global_acc: 73.340% | global_loss: 2.0319149494171143
comm_round: 16 | global_acc: 74.540% | global_loss: 1.9937160015106201
comm_round: 17 | global_acc: 75.360% | global_loss: 1.9587610960006714
comm_round: 18 | global_acc: 76.040% | global_loss: 1.9267936944961548
comm_round: 19 | global_acc: 76.540% | global_loss: 1.898115634918213
