comm_round: 0 | global_acc: 20.250% | global_loss: 2.2748560905456543
comm_round: 1 | global_acc: 42.325% | global_loss: 2.2400076389312744
comm_round: 2 | global_acc: 50.625% | global_loss: 2.204084634780884
comm_round: 3 | global_acc: 54.775% | global_loss: 2.1641526222229004
comm_round: 4 | global_acc: 59.075% | global_loss: 2.123706102371216
comm_round: 5 | global_acc: 62.250% | global_loss: 2.0864899158477783
comm_round: 6 | global_acc: 64.475% | global_loss: 2.053149700164795
comm_round: 7 | global_acc: 65.800% | global_loss: 2.0239932537078857
comm_round: 8 | global_acc: 66.550% | global_loss: 1.9986157417297363
comm_round: 9 | global_acc: 67.475% | global_loss: 1.976342797279358
comm_round: 10 | global_acc: 68.400% | global_loss: 1.9569404125213623
comm_round: 11 | global_acc: 68.950% | global_loss: 1.940094232559204
comm_round: 12 | global_acc: 69.525% | global_loss: 1.9257221221923828
comm_round: 13 | global_acc: 70.175% | global_loss: 1.9127182960510254
comm_round: 14 | global_acc: 71.075% | global_loss: 1.9010531902313232
comm_round: 15 | global_acc: 71.150% | global_loss: 1.8910306692123413
comm_round: 16 | global_acc: 71.500% | global_loss: 1.881659746170044
comm_round: 17 | global_acc: 72.250% | global_loss: 1.8731689453125
comm_round: 18 | global_acc: 72.300% | global_loss: 1.8657394647598267
comm_round: 19 | global_acc: 72.850% | global_loss: 1.8589617013931274
comm_round: 20 | global_acc: 73.375% | global_loss: 1.8526313304901123
comm_round: 21 | global_acc: 73.800% | global_loss: 1.8465664386749268
comm_round: 22 | global_acc: 74.150% | global_loss: 1.8410886526107788
comm_round: 23 | global_acc: 74.125% | global_loss: 1.835793375968933
comm_round: 24 | global_acc: 74.475% | global_loss: 1.8307158946990967
comm_round: 25 | global_acc: 74.825% | global_loss: 1.8261547088623047
comm_round: 26 | global_acc: 75.125% | global_loss: 1.8217397928237915
comm_round: 27 | global_acc: 75.350% | global_loss: 1.8176801204681396
comm_round: 28 | global_acc: 75.550% | global_loss: 1.8138765096664429
comm_round: 29 | global_acc: 75.675% | global_loss: 1.8098469972610474
