comm_round: 0 | global_acc: 9.925% | global_loss: 2.301626205444336
comm_round: 1 | global_acc: 13.200% | global_loss: 2.2995691299438477
comm_round: 2 | global_acc: 14.850% | global_loss: 2.2981059551239014
comm_round: 3 | global_acc: 16.300% | global_loss: 2.2967822551727295
comm_round: 4 | global_acc: 17.625% | global_loss: 2.295466423034668
comm_round: 5 | global_acc: 18.525% | global_loss: 2.2941219806671143
comm_round: 6 | global_acc: 19.550% | global_loss: 2.2927212715148926
comm_round: 7 | global_acc: 20.200% | global_loss: 2.2912521362304688
comm_round: 8 | global_acc: 21.200% | global_loss: 2.2896578311920166
comm_round: 9 | global_acc: 22.075% | global_loss: 2.287982940673828
comm_round: 10 | global_acc: 23.225% | global_loss: 2.286257028579712
comm_round: 11 | global_acc: 23.825% | global_loss: 2.284442186355591
comm_round: 12 | global_acc: 24.025% | global_loss: 2.2825706005096436
comm_round: 13 | global_acc: 24.650% | global_loss: 2.28065824508667
comm_round: 14 | global_acc: 25.075% | global_loss: 2.2786753177642822
comm_round: 15 | global_acc: 25.900% | global_loss: 2.276676893234253
comm_round: 16 | global_acc: 26.500% | global_loss: 2.2747020721435547
comm_round: 17 | global_acc: 26.875% | global_loss: 2.272681474685669
comm_round: 18 | global_acc: 27.075% | global_loss: 2.270643949508667
comm_round: 19 | global_acc: 27.575% | global_loss: 2.268629550933838
comm_round: 20 | global_acc: 28.000% | global_loss: 2.266641616821289
comm_round: 21 | global_acc: 28.425% | global_loss: 2.2646899223327637
