comm_round: 0 | global_acc: 9.580% | global_loss: 2.302009105682373
comm_round: 1 | global_acc: 12.780% | global_loss: 2.2974581718444824
comm_round: 2 | global_acc: 21.620% | global_loss: 2.2938714027404785
comm_round: 3 | global_acc: 32.680% | global_loss: 2.289811372756958
comm_round: 4 | global_acc: 42.860% | global_loss: 2.2847440242767334
comm_round: 5 | global_acc: 49.820% | global_loss: 2.278228759765625
comm_round: 6 | global_acc: 54.860% | global_loss: 2.269832134246826
comm_round: 7 | global_acc: 57.640% | global_loss: 2.2588958740234375
comm_round: 8 | global_acc: 59.640% | global_loss: 2.244211435317993
comm_round: 9 | global_acc: 61.780% | global_loss: 2.2247416973114014
comm_round: 10 | global_acc: 63.840% | global_loss: 2.199406623840332
comm_round: 11 | global_acc: 65.160% | global_loss: 2.1664624214172363
comm_round: 12 | global_acc: 66.840% | global_loss: 2.1259496212005615
comm_round: 13 | global_acc: 68.500% | global_loss: 2.0816445350646973
comm_round: 14 | global_acc: 69.700% | global_loss: 2.035776138305664
comm_round: 15 | global_acc: 71.760% | global_loss: 1.9922406673431396
comm_round: 16 | global_acc: 73.520% | global_loss: 1.952207088470459
comm_round: 17 | global_acc: 75.120% | global_loss: 1.9145241975784302
comm_round: 18 | global_acc: 76.700% | global_loss: 1.8813635110855103
comm_round: 19 | global_acc: 78.000% | global_loss: 1.8511861562728882
