comm_round: 0 | global_acc: 22.300% | global_loss: 2.281747817993164
comm_round: 1 | global_acc: 42.350% | global_loss: 2.2635223865509033
comm_round: 2 | global_acc: 47.750% | global_loss: 2.241870164871216
comm_round: 3 | global_acc: 51.700% | global_loss: 2.2156970500946045
comm_round: 4 | global_acc: 55.450% | global_loss: 2.185089349746704
comm_round: 5 | global_acc: 58.675% | global_loss: 2.1515233516693115
comm_round: 6 | global_acc: 61.475% | global_loss: 2.1180660724639893
comm_round: 7 | global_acc: 63.525% | global_loss: 2.0859298706054688
comm_round: 8 | global_acc: 65.150% | global_loss: 2.054816484451294
comm_round: 9 | global_acc: 66.725% | global_loss: 2.02677583694458
comm_round: 10 | global_acc: 67.925% | global_loss: 2.0005249977111816
comm_round: 11 | global_acc: 69.100% | global_loss: 1.976891040802002
comm_round: 12 | global_acc: 69.875% | global_loss: 1.9561755657196045
comm_round: 13 | global_acc: 70.775% | global_loss: 1.9374151229858398
comm_round: 14 | global_acc: 71.275% | global_loss: 1.920822262763977
comm_round: 15 | global_acc: 71.825% | global_loss: 1.905929446220398
comm_round: 16 | global_acc: 72.300% | global_loss: 1.8927167654037476
comm_round: 17 | global_acc: 72.625% | global_loss: 1.881575584411621
comm_round: 18 | global_acc: 72.775% | global_loss: 1.8711491823196411
comm_round: 19 | global_acc: 73.275% | global_loss: 1.8619264364242554
comm_round: 20 | global_acc: 73.775% | global_loss: 1.8537287712097168
comm_round: 21 | global_acc: 74.200% | global_loss: 1.8460263013839722
